market_id,ticker,quarter,created_at,closed_at,polymarket_outcome,rf_prediction,rf_probability,rf_correct,xgb_prediction,xgb_probability,xgb_correct,lr_prediction,lr_probability,lr_correct,ensemble_vote,ensemble_correct,marketId,avgPrice,edge_rf,edge_xgb,edge_lr,edge_bucket_rf,edge_bucket_xgb,edge_bucket_lr,pm_price_bucket,ev_lr,optimal_bet_lr,win_profit_lr,lose_loss_lr
668515,BTM,2025-09-30,2025-11-06T21:25:04.5784Z,2025-11-13 16:04:20+00,0,1,0.6301376049220453,False,1,0.74005944,False,1,0.8385450108443148,False,1,False,668515,0.4084,0.2217376049220453,0.33165944,0.4301450108443148,>20%,>20%,>20%,0.4-0.5,19.145022888411944,18.17718943730201,144.85798237022527,100
668512,GAMB,2025-09-30,2025-11-06T21:21:20.517885Z,2025-11-13 14:55:16+00,1,1,0.6544352694109115,True,1,0.9137593,True,1,0.6960017896877029,True,1,True,668512,0.8399,-0.18546473058908852,0.07385930000000007,-0.1438982103122971,-20to-15%,5to10%,-15to-10%,0.8-1.0,0.0,0.0,19.061793070603642,100
668497,DIS,2025-09-30,2025-11-06T21:14:37.539643Z,2025-11-13 14:08:48+00,1,0,0.2368969061590515,False,0,0.22871491,False,0,0.3820682982400565,False,0,False,668497,0.8817,-0.6448030938409486,-0.65298509,-0.49963170175994354,<-20%,<-20%,<-20%,0.8-1.0,0.0,0.0,13.417262107292729,100
668474,PLBY,2025-09-30,2025-11-06T21:07:27.424332Z,2025-11-13 02:04:22+00,1,0,0.4734755267623224,False,0,0.29060042,False,0,0.4926688033734261,False,0,False,668474,0.3141,0.15937552676232242,-0.023499579999999964,0.17856880337342612,15to20%,-5to0%,15to20%,0.3-0.4,3.700176546812766,6.508558221804423,218.36994587710922,100
668453,OKLO,2025-09-30,2025-11-06T20:48:53.635189Z,2025-11-12 01:17:33+00,0,0,0.408116710453856,True,0,0.12350205,True,1,0.536986179218273,False,0,True,668453,0.3776,0.03051671045385601,-0.25409795,0.15938617921827297,0to5%,<-20%,15to20%,0.3-0.4,2.702338563785457,6.402079820785385,164.83050847457628,100
668446,REAL,2025-09-30,2025-11-06T20:38:30.925172Z,2025-11-10 23:49:38+00,1,1,0.7828955142759874,True,1,0.8673819,True,1,0.5696864403166401,True,1,True,668446,0.7859,-0.0030044857240126843,0.0814819,-0.21621355968335998,-5to0%,5to10%,<-20%,0.7-0.8,0.0,0.0,27.242651736862186,100
667915,CHGG,2025-09-30,2025-11-06T15:54:31.304191Z,2025-11-11 00:14:36+00,1,0,0.4493916177999156,False,0,0.17589788,False,0,0.2879235895535098,False,0,False,667915,0.4459,0.0034916177999155806,-0.27000212,-0.15797641044649025,0to5%,<-20%,-20to-15%,0.4-0.5,0.0,0.0,124.26553038797937,100
667903,HHH,2025-09-30,2025-11-06T15:39:39.989964Z,2025-11-10 14:38:10+00,1,1,0.6656958173011163,True,0,0.4182396,False,1,0.5454484522776217,True,1,True,667903,0.7443,-0.0786041826988837,-0.3260604,-0.19885154772237823,-10to-5%,<-20%,-20to-15%,0.7-0.8,0.0,0.0,34.354426978368934,100
667902,TSEM,2025-09-30,2025-11-06T15:35:55.429387Z,2025-11-10 15:26:40+00,1,1,0.7224340564179866,True,1,0.76177615,True,1,0.6075985814708522,True,1,True,667902,0.7952,-0.07276594358201338,-0.03342385000000003,-0.1876014185291478,-10to-5%,-5to0%,-20to-15%,0.7-0.8,0.0,0.0,25.754527162977865,100
667887,TSN,2025-09-30,2025-11-06T15:32:47.06809Z,2025-11-10 14:55:42+00,1,0,0.2537551418233983,False,0,0.070533305,False,0,0.3220289116458076,False,0,False,667887,0.812,-0.5582448581766017,-0.7414666950000001,-0.48997108835419245,<-20%,<-20%,<-20%,0.8-1.0,0.0,0.0,23.152709359605907,100
