Strategy,Trades,Total_Invested,Gross_PnL,Net_PnL,ROI_Gross,ROI_Net,Win_Rate,Avg_Edge
All Events,262,976.7221597574865,135.2973737535921,127.66213527198002,13.852186356372373,13.070465740603005,0.7251908396946565,-0.09721736895149727
Filtered (|edge| >= 12%),97,243.75250641154037,-27.07777973945365,-29.368371176115662,-11.108718485846783,-12.048438643142186,0.7525773195876289,-0.12952828440852504
Baseline (Always Beat),262,26200.0,700.8322105292407,542.815566318656,2.6749321012566436,2.071815138620824,0.7251908396946565,0.0
